SST_table_2,cdom443_BL1_3,MLD_table_2,DOC_in_situ,DOC_estimated
25.6699994262308,0.00201842,36.7675352214459,74.67,75.80271
16.1899996381253,0.00622712,63.4441215581775,68.97,61.107006
27.0299993958324,0.00580788,29.3143471734864,72.21,72.27629
28.3299993667752,0.00845273,23.8681064674032,58.61,74.96321
18.7799995802343,0.0071236999999999,81.65196345024,59.3268,63.84948
22.7299994919449,0.00374156,37.1121566189221,67.76,73.112045
30.2499993238598,0.0104403999999999,12.7344979049391,73.82,80.2963
9.91999977827072,0.0157136,38.8488417751979,55.74,61.996063
9.91999977827072,0.0368368,38.8488417751979,67.92,64.62652
5.74999987147748,0.0226123,14.9658816065799,49.6,54.30132
21.869999511167396,0.0031138,27.482152314081,72.0,71.09948
2.44999994523823,0.0060919,80.7611731998133,44.84,40.62467
30.1799993254244,0.00373875,12.886501015088198,74.88,73.347046
27.0599993951619,0.0026587,40.3044352651801,79.39,74.96407
18.9699995759875,0.0202235999999999,104.351994388661,57.1122,60.610683
22.859999489039197,0.00247197,20.9045814046326,68.2,70.2875
1.3199999704957,0.00718022,74.37163278145971,47.23,44.335247
25.6199994273484,0.0033556,58.12686752799271,78.16,76.39968
21.2299995254725,0.00203584,50.4338086503613,67.18,68.185135
22.8199994899333,0.00161761,48.3753820512386,69.59,70.97009
24.0299994628876,0.00122501,14.635210002990195,67.7,69.0801
22.109999505803,0.00299101,61.5132151130976,74.31,72.607414
18.3699995893985,0.0521195,24.995636089552,64.8,67.026726
23.6099994722754,0.00379723,21.3021874094848,66.9,71.53698
18.769999580457803,0.00120196,27.318327829028807,59.0,62.13587
29.7499993350357,0.0182842,33.4127316927317,70.98,69.60003
20.4999995417893,0.00279807,55.7569646587646,66.97,69.46829
12.5699997190386,0.0120848999999999,54.304038600344896,60.48,63.56005
21.8599995113909,0.00464809,26.687832149913397,69.6,71.35615
24.2199994586408,0.00286002,14.3641331576363,68.3,69.71372
25.9199994206429,0.00150065,15.1639005295961,74.0,70.968056
26.7899994011968,0.00282584,15.6709270725989,51.9,72.48717
9.91999977827072,0.0156707,38.8488417751979,58.96,61.95912
21.569999517872898,0.00379957,26.4215827968256,71.68,70.66843
18.699999582022397,0.00489863,41.3106669219834,61.4927,64.10366
9.639999784529213,0.0108307,76.1862879240992,48.74,54.0351
20.3099995460361,0.00400133,28.8053762387341,69.43,68.36615
19.319999568164302,0.0241312,33.735789194955004,60.99353000000001,68.657135
21.8599995113909,0.00641258,58.3684975942525,66.85,69.77688
1.5499999653548,0.0141365,52.9296951075725,55.54,54.619762
21.779999513179103,0.00387363,52.88282102988961,67.68,71.33706
0.339999992400408,0.00560795,40.2943596734652,45.125,48.45366
27.1799993924797,0.0137882999999999,55.3103134257826,65.13,62.387928
29.8899993319064,0.0163022,35.4177917102711,65.66,66.82169
2.4899999443441603,0.00989213,14.364711705134802,49.34,49.715168
28.0499993730336,0.0099512,53.98299294174461,64.02,65.76709
26.4999994076788,0.00207666,36.7675352214459,78.59,75.198395
17.9699995983392,0.00149582,19.1143261569003,60.6,63.794033
22.2599995024502,0.00656885,36.8947053981312,72.1,72.98843
20.359999544918495,0.00300185,42.1574264018516,71.77,65.152214
23.3899994771928,0.00297214,61.5132151130976,75.4,74.5307
22.4799994975328,0.00154326,19.8148255797775,63.32,69.72289
27.659999381750804,0.00202429,27.6372765816624,72.1,72.089836
26.5399994067848,0.00177662,39.0238909181293,79.2,76.44432
26.0999994166195,0.00964464,17.282616081936,89.8,77.46851
23.1199994832277,0.000674813,38.819109618258096,69.65,72.996605
19.2999995686114,0.0498388,14.882467586863502,86.9,76.52203
19.86999955587089,0.00932665,182.622940107988,60.3,62.327927
24.75999944657089,0.00181605,13.2841050901556,69.0,69.653015
23.9399994648993,0.00341667,27.5288530496172,66.5,72.59741
27.4499993864447,0.00300051,14.4976881004535,81.2637,72.90957
28.679999358952,0.00803816,37.4804203330646,60.66,68.42698
20.679999537766,0.00215042,63.8498316255818,68.58,70.30346
20.3299995455891,0.00323662,50.3413934686878,69.16,68.01706
19.8499995563179,0.00505562,56.4309649726931,62.8098,68.11706
23.6399994716048,0.00109303,23.0350134935391,73.55,71.29482
24.5399994514883,0.00172605,74.9275867208864,69.328,75.491234
16.349999634549,0.0272625999999999,55.525770166532794,72.6089,67.98946
24.2999994568527,0.00156763,23.8267649902947,64.0,71.64639
19.129999572411197,0.00602178,13.9181733328261,71.14,65.03951
22.829999489709703,0.00124857,25.4852122456073,63.3,71.12152
27.9199993759394,0.00196211,40.3044352651801,72.9,75.064476
18.7499995809048,0.00539793,36.1923901762005,58.2,64.06622
20.5699995402247,0.00476988,22.515360742472897,60.1,68.474045
21.459999520331603,0.000683051,16.998085390062197,68.1,68.50856
14.7299996707588,0.0298272999999999,45.91271077539501,60.57,64.57428
25.8999994210899,0.00338903,14.4976881004535,79.6886,72.4397
21.5799995176494,0.0030249,64.97644427816671,70.02,71.17977
19.659999560564803,0.00314821,23.317012949310197,57.8,67.04002
28.759999357163892,0.00560892,49.2675435261005,59.89,70.047874
14.5699996743351,0.0258434,88.69511867686691,73.21,72.430855
27.869999377057,0.00218883,24.8554738784575,66.99,71.6847
10.1999997720122,0.0256947,18.963140830286505,62.45186999999999,58.722168
20.9899995308369,0.00177348,38.4220163174872,66.2,66.539536
26.5099994074553,0.00293062,38.81824626724161,70.6,74.65825
25.259999435395,0.00379165,15.3044546313047,69.5,72.07746
29.499999340623607,0.00488128,9.94291104545241,78.13,76.26719
21.8599995113909,0.00871354,26.687832149913397,78.7,71.486176
22.5299994964153,0.0020786999999999,22.0579438288394,68.2,70.414505
18.859999578446104,0.00262841,55.6032691964141,67.02,65.90148
14.5799996741116,0.0384006999999999,56.060980816961695,72.02,65.58076
19.829999556765,0.00349662,42.6614066913334,60.1,64.50411
18.6799995824695,0.0475481,11.8214941743362,76.0,77.358185
22.6799994930625,0.00278602,50.1675791078304,67.02,71.228325
27.5499993842095,0.00233864,34.5859315188358,71.7,73.26124
23.5499994736165,0.00192701,23.0350134935391,79.35,71.362305
21.3099995236844,0.0020545999999999,13.899226942207902,62.96,67.776085
21.1199995279312,0.00356122,50.3413934686878,73.9,69.57677
22.929999487474603,0.00188295,23.0350134935391,74.64,71.05437
