CHL_OC4_2,SST_table_2,cdom443_BL1_3,MLD_table_2,DOC_in_situ,DOC_estimated
0.013526381480834,1.5499999653548,0.0155168999999999,52.9296951075725,56.54,60.456287
0.075964768819069,2.54999994300306,0.0185001,19.4097915843394,56.51,54.320652
0.0111922014284089,18.7799995802343,0.0071236999999999,81.65196345024,59.3268,67.81743
0.0411984150899779,20.8099995348603,0.0107809,23.3822757949308,63.252930000000006,63.236645
0.0141865451453192,9.639999784529213,0.0108307,76.1862879240992,48.74,56.55127
0.030020720816473,20.319999545812603,0.0117002999999999,43.9580297381279,68.8,77.27597
0.0104697881944196,19.30999956838789,0.00503672,43.39062143169471,65.21,65.564255
0.0115906240146581,9.91999977827072,0.0158422,38.8488417751979,79.01,63.56175
0.0177605976321508,14.5699996743351,0.0258434,88.69511867686691,73.21,65.962845
0.0085052013653562,19.9199995547533,0.00655322,18.868567743427,61.9805,66.64035
0.014926901889478,23.8199994675815,0.00236435,27.579187537347497,69.22,71.01749
0.0080143721358433,9.91999977827072,0.0368368,38.8488417751979,67.92,70.15724
0.0133641893885629,1.3199999704957,0.00718022,74.37163278145971,47.23,51.205784
0.0069314462810181,18.9699995759875,0.0202235999999999,104.351994388661,57.1122,59.341656
0.0089138377674753,24.6699994485825,0.00390663,42.397786790370496,66.71,75.13026
0.0096116486522117,18.7499995809048,0.00539793,36.1923901762005,58.2,66.17033
0.0168410778994819,29.6499993372709,0.0053957,18.9272742515551,72.67,66.43774
0.0100542837527175,18.809999579563694,0.00852612,37.9841106220317,67.02,69.37696
0.0071067317454879,25.6199994273484,0.0037645,58.12686752799271,76.13,78.96835
0.0069940254311818,21.0299995299429,0.00178629,64.97644427816671,72.03,68.838745
0.0049350729449883,24.679999448359,0.00447163,38.4279391938504,66.46,71.395386
0.0130123685910407,27.2599993906915,0.00327943,39.0238909181293,76.85,75.72901
0.0080184489940674,21.9199995100498,0.00168257,52.3680839040498,64.88,69.56343
0.0118580614771318,21.2299995254725,0.00203584,50.4338086503613,67.18,69.89636
0.00908934188579,22.0699995066971,0.0018034,32.4598853380249,72.97,66.095085
0.0083938922466247,23.3899994771928,0.00297214,61.5132151130976,75.4,75.71243
0.0183594145104835,26.9699993971735,0.00199306,39.0238909181293,74.46,73.58628
0.0034358443596787,20.8099995348603,0.0018399999999999,62.979819492571295,66.4,65.419945
0.0111925621301018,19.829999556765,0.00349662,42.6614066913334,60.1,65.04202
